YEAR,SHORT_DESC,STATE_ALPHA,DOMAINCAT_DESC
,"RABBITS, LIVE & PELTS - OPERATIONS WITH INVENTORY",,
,"CHUKARS - SALES, MEASURED IN HEAD",,
,"HOGS, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD",,
,"MOLLUSKS, REPORTED BY NUMBER SOLD - OPERATIONS WITH SALES & DISTRIBUTION",,
,WOOL - OPERATIONS WITH PRODUCTION,,
,"EQUINE, HORSES & PONIES - INVENTORY",,
,"AQUACULTURE, OTHER, REPORTED BY LBS SOLD - OPERATIONS WITH SALES & DISTRIBUTION",,
,"HOGS, BREEDING - OPERATIONS WITH INVENTORY",,
,"EGGS - PRODUCTION, MEASURED IN EGGS",,
,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",,
,"FOOD FISH, (EXCL CATFISH & TROUT), REPORTED BY NUMBER SOLD - SALES & DISTRIBUTION, MEASURED IN HEAD",,
,"GOATS, MILK - OPERATIONS WITH SALES",,
,HONEY - OPERATIONS WITH PRODUCTION,,
,ORNAMENTAL FISH - OPERATIONS WITH SALES & DISTRIBUTION,,
,"CATTLE, INCL CALVES - INVENTORY",,
,"MOHAIR, ANGORA - CLIPPED, MEASURED IN HEAD",,
,GOATS - INVENTORY,,
,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",,
,"RABBITS, LIVE - NUMBER OF SALES",,
,"CATTLE, ON FEED - INVENTORY",,
,"GOATS, MILK - SALES, MEASURED IN $",,
,"FOOD FISH, (EXCL CATFISH & TROUT), REPORTED BY LBS SOLD - SALES & DISTRIBUTION, MEASURED IN LB",,
,HOGS - INVENTORY,,
,DEER - INVENTORY,,
,"GOATS, ANGORA - SALES, MEASURED IN $",,
,"CATTLE, CALVES - OPERATIONS WITH SALES",,
,"POULTRY, OTHER, INCL DUCKS & GEESE - OPERATIONS WITH INVENTORY",,
,"HOGS, SOWS - FARROWED, MEASURED IN HEAD",,
,"MILK - SALES, MEASURED IN LB",,
,"CHICKENS, LAYERS - INVENTORY, AVG, MEASURED IN HEAD",,
,"CHICKENS, LAYERS - RATE OF LAY, MEASURED IN EGGS / LAYER",,
,"TURKEYS - PRODUCTION, MEASURED IN HEAD",,
,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",,
,"HOGS - LITTER RATE, MEASURED IN PIGS / LITTER",,
,"EGGS - PRODUCTION, MEASURED IN $",,
,"CHICKENS, OTHER - INVENTORY",,
,"CATTLE, (EXCL MILK COWS & REPL HEIFERS) - INVENTORY",,
